Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.05,0.005
0.02,-0.05,0.005
0.04,-0.05,0.005
0.06,-0.05,0.005
0.08,-0.05,0.005
0.1,-0.05,0.005
0.12,-0.05,0.005
0.14,-0.05,0.005
0.16,-0.05,0.005
0.18,-0.05,0.005
0.2,-0.05,0.005
0.22,-0.05,0.005
0.24,-0.05,0.005
0.26,-0.05,0.005
0.28,-0.05,0.005
0.3,-0.05,0.005
0.32,-0.05,0.005
0.34,-0.05,0.005
0.36,-0.05,0.005
0.38,-0.055,0.005
0.4,-0.055,0.005
0.42,-0.055,0.005
0.44,-0.055,0.005
0.46,-0.055,0.005
0.48,-0.055,0.005
0.5,-0.055,0.005
0.52,-0.05,0.005
0.54,-0.05,0.005
0.56,0,0.055
0.58,-0.01,0.085
0.6,-0.025,0.1
0.62,-0.03,0.13
0.64,-0.025,0.15
0.66,-0.03,0.17
0.68,-0.035,0.18
0.7,-0.025,0.2
0.72,-0.03,0.225
0.74,-0.03,0.235
0.76,-0.015,0.265
0.78,0,0.3
0.8,-0.015,0.325
0.82,-0.01,0.355
0.84,-0.02,0.37
0.86,-0.01,0.385
0.88,-0.015,0.395
0.9,0.06,0.43
0.92,0.12,0.465
0.94,0.145,0.49
0.96,0.105,0.51
0.98,0.06,0.54
1,-0.005,0.55
1.02,-0.01,0.565
1.04,-0.015,0.59
1.06,-0.015,0.61
1.08,-0.005,0.63
1.1,-0.01,0.64
1.12,0.01,0.665
1.14,0.025,0.68
1.16,0.02,0.695
1.18,0.075,0.72
1.2,0.11,0.745
1.22,0.145,0.76
1.24,0.255,0.795
1.26,0.37,0.825
1.28,0.555,0.86
1.3,0.77,0.895
1.32,0.94,0.92
1.34,1.135,0.95
1.36,1.16,0.99
1.38,0.765,1.035
1.4,0.335,1.06
1.42,0.155,1.085
1.44,0.125,1.115
1.46,0.145,1.14
1.48,0.22,1.165
1.5,0.29,1.185
1.52,0.41,1.21
1.54,0.545,1.235
1.56,0.71,1.26
1.58,0.86,1.28
1.6,1.1,1.305
1.62,1.37,1.335
1.64,1.73,1.365
1.66,2.08,1.395
1.68,2.47,1.42
1.7,2.7,1.45
1.72,2.435,1.485
1.74,1.87,1.515
1.76,1.19,1.55
1.78,0.67,1.585
1.8,0.46,1.6
1.82,0.46,1.63
1.84,0.6,1.67
1.86,0.675,1.68
1.88,0.98,1.72
1.9,1.205,1.745
1.92,1.415,1.765
1.94,1.75,1.785
1.96,2.04,1.81
1.98,2.435,1.835
2,3.125,1.875
2.02,3.675,1.905
2.04,4.03,1.93
2.06,4.07,1.94
2.08,3.99,1.955
2.1,3.77,1.975
2.12,3.175,2
2.14,2.415,2.03
2.16,1.83,2.06
2.18,1.425,2.08
2.2,1.175,2.1
2.22,1.04,2.125
2.24,1.09,2.155
2.26,1.235,2.185
2.28,1.445,2.21
2.3,1.675,2.23
2.32,1.87,2.245
2.34,2.36,2.285
2.36,2.71,2.3
2.38,3.155,2.325
2.4,3.5,2.34
2.42,3.945,2.36
2.44,4.65,2.4
2.46,5.08,2.425
2.48,5.12,2.445
2.5,4.985,2.47
2.52,4.765,2.485
2.54,4.3,2.51
2.56,3.665,2.535
2.58,3.205,2.55
2.6,2.91,2.565
2.62,2.51,2.59
2.64,2.21,2.605
2.66,2.13,2.63
2.68,2.075,2.65
2.7,2.085,2.665
2.72,2.115,2.68
2.74,2.325,2.705
2.76,2.575,2.735
2.78,2.775,2.745
2.8,2.98,2.76
2.82,3.38,2.79
2.84,3.775,2.805
2.86,4.44,2.84
2.88,5.07,2.865
2.9,5.425,2.88
2.92,5.885,2.9
2.94,6.18,2.92
2.96,6.36,2.94
2.98,6.35,2.975
3,6.23,2.98
3.02,5.99,3.01
3.04,5.485,3.03
3.06,4.955,3.05
3.08,4.68,3.06
3.1,4.455,3.085
3.12,3.975,3.11
3.14,3.735,3.14
3.16,3.62,3.155
3.18,3.615,3.18
3.2,3.59,3.185
3.22,3.575,3.18
3.24,3.575,3.185
3.26,3.575,3.185
3.28,3.585,3.18
3.3,3.59,3.18
3.32,3.59,3.18
3.34,3.59,3.18
3.36,3.59,3.18
3.38,3.59,3.18
3.4,3.59,3.18
3.42,3.595,3.18
3.44,3.595,3.18
3.46,3.59,3.18
3.48,3.595,3.18
3.5,3.595,3.18
3.52,3.595,3.18
3.54,3.595,3.18
3.56,3.595,3.18
3.58,3.595,3.18
3.6,3.595,3.18
3.62,3.6,3.18
3.64,3.605,3.18
3.66,3.615,3.18
3.68,3.615,3.18
3.7,3.615,3.18
3.72,3.62,3.18
3.74,3.615,3.18
3.76,3.62,3.18
3.78,3.62,3.18
3.8,3.62,3.18
3.82,3.62,3.18
3.84,3.62,3.18
3.86,3.62,3.18
3.88,3.62,3.18
3.9,3.62,3.18
3.92,3.62,3.18
3.94,3.62,3.18
3.96,3.625,3.18
3.98,3.615,3.18
4,3.61,3.18
4.02,3.61,3.18
4.04,3.605,3.18
4.06,3.61,3.18
4.08,3.61,3.18
4.1,3.61,3.18
4.12,3.61,3.18
4.14,3.61,3.18
4.16,3.61,3.18
4.18,3.595,3.18
4.2,3.61,3.18
4.22,3.61,3.18
4.24,3.61,3.18
4.26,3.61,3.185
4.28,3.61,3.18
4.3,3.61,3.18
4.32,3.61,3.18
4.34,3.62,3.18
4.36,3.62,3.18
4.38,3.62,3.18
4.4,3.62,3.18
4.42,3.62,3.18
4.44,3.615,3.18
4.46,3.62,3.18
4.48,3.62,3.18
4.5,3.62,3.18
4.52,3.62,3.18
4.54,3.62,3.18
4.56,3.62,3.18
4.58,3.62,3.18
4.6,3.62,3.18
4.62,3.625,3.18
4.64,3.62,3.18
4.66,3.62,3.18
4.68,3.62,3.185
4.7,3.62,3.18
4.72,3.62,3.18
4.74,3.62,3.185
4.76,3.62,3.18
4.78,3.62,3.18
4.8,3.62,3.18
4.82,3.625,3.18
4.84,3.625,3.18
4.86,3.625,3.18
4.88,3.63,3.18
4.9,3.625,3.18
4.92,3.625,3.18
4.94,3.625,3.18
4.96,3.63,3.18
4.98,3.63,3.185
5,3.63,3.18
5.02,3.63,3.18
5.04,3.635,3.18
5.06,3.64,3.18
5.08,3.64,3.18
5.1,3.64,3.18
5.12,3.635,3.18
5.14,3.635,3.18
5.16,3.64,3.18
5.18,3.64,3.18
5.2,3.64,3.18
5.22,3.64,3.18
5.24,3.645,3.18
5.26,3.64,3.18
5.28,3.645,3.18
5.3,3.645,3.18
5.32,3.645,3.18
5.34,3.65,3.18
5.36,3.65,3.18
5.38,3.655,3.18
5.4,3.655,3.18
5.42,3.66,3.175
5.44,3.67,3.175
5.46,3.67,3.18
5.48,3.67,3.18
5.5,3.67,3.18
5.52,3.67,3.18
5.54,3.675,3.18
5.56,3.675,3.18
5.58,3.675,3.18
5.6,3.67,3.175
5.62,3.67,3.18
5.64,3.675,3.175
