Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0.01,0.005
0.02,0.01,0.005
0.04,0.01,0.005
0.06,0.01,0
0.08,0.01,0.005
0.1,0.01,0.005
0.12,0.01,0.005
0.14,0.01,0.005
0.16,0.01,0
0.18,0.01,0.005
0.2,0.015,0.005
0.22,0.015,0.005
0.24,0.015,0.005
0.26,0.01,0.005
0.28,0.015,0.005
0.3,0.01,0.005
0.32,0.01,0.005
0.34,0.01,0.005
0.36,0.015,0.005
0.38,0.01,0.005
0.4,0.015,0.005
0.42,0.015,0.005
0.44,0.015,0
0.46,0.03,0.01
0.48,0.075,0.045
0.5,0.04,0.055
0.52,0.055,0.075
0.54,0.04,0.095
0.56,0.08,0.125
0.58,0.055,0.14
0.6,0.055,0.16
0.62,0.055,0.185
0.64,0.09,0.215
0.66,0.05,0.225
0.68,0.06,0.24
0.7,0.07,0.265
0.72,0.095,0.29
0.74,0.095,0.315
0.76,0.085,0.325
0.78,0.095,0.345
0.8,0.11,0.36
0.82,0.115,0.375
0.84,0.145,0.39
0.86,0.155,0.41
0.88,0.16,0.445
0.9,0.115,0.455
0.92,0.1,0.475
0.94,0.075,0.485
0.96,0.09,0.505
0.98,0.07,0.515
1,0.08,0.535
1.02,0.06,0.545
1.04,0.045,0.55
1.06,0.06,0.56
1.08,0.08,0.58
1.1,0.06,0.59
1.12,0.07,0.6
1.14,0.07,0.61
1.16,0.1,0.625
1.18,0.11,0.64
1.2,0.115,0.65
1.22,0.13,0.665
1.24,0.135,0.67
1.26,0.185,0.69
1.28,0.2,0.7
1.3,0.265,0.725
1.32,0.32,0.745
1.34,0.37,0.76
1.36,0.445,0.78
1.38,0.49,0.795
1.4,0.615,0.82
1.42,0.72,0.84
1.44,0.81,0.86
1.46,0.86,0.87
1.48,0.885,0.885
1.5,0.88,0.905
1.52,0.73,0.92
1.54,0.615,0.935
1.56,0.415,0.95
1.58,0.345,0.965
1.6,0.26,0.98
1.62,0.205,1
1.64,0.185,1.025
1.66,0.14,1.04
1.68,0.13,1.05
1.7,0.175,1.075
1.72,0.18,1.09
1.74,0.25,1.115
1.76,0.295,1.13
1.78,0.385,1.155
1.8,0.44,1.165
1.82,0.505,1.18
1.84,0.585,1.195
1.86,0.735,1.215
1.88,0.815,1.23
1.9,0.925,1.24
1.92,1.01,1.25
1.94,1.085,1.265
1.96,1.235,1.28
1.98,1.3,1.285
2,1.36,1.29
2.02,1.42,1.295
2.04,1.555,1.31
2.06,1.835,1.34
2.08,1.98,1.365
2.1,1.93,1.38
2.12,1.805,1.39
2.14,1.705,1.395
2.16,1.46,1.41
2.18,1.15,1.43
2.2,0.9,1.44
2.22,0.685,1.475
2.24,0.4,1.49
2.26,0.325,1.505
2.28,0.26,1.52
2.3,0.285,1.545
2.32,0.245,1.555
2.34,0.325,1.58
2.36,0.335,1.585
2.38,0.355,1.595
2.4,0.38,1.6
2.42,0.49,1.615
2.44,0.605,1.635
2.46,0.825,1.665
2.48,0.92,1.675
2.5,0.975,1.68
2.52,1.125,1.695
2.54,1.305,1.71
2.56,1.48,1.725
2.58,1.68,1.74
2.6,1.815,1.75
2.62,1.985,1.765
2.64,2.34,1.785
2.66,2.655,1.805
2.68,2.94,1.83
2.7,3.005,1.83
2.72,3.065,1.845
2.74,3.055,1.86
2.76,2.925,1.875
2.78,2.645,1.89
2.8,2.495,1.895
2.82,2.225,1.905
2.84,1.905,1.92
2.86,1.725,1.93
2.88,1.515,1.945
2.9,1.22,1.955
2.92,1.07,1.965
2.94,0.84,1.985
2.96,0.64,1.995
2.98,0.545,2.005
3,0.485,2.025
3.02,0.435,2.03
3.04,0.445,2.04
3.06,0.47,2.06
3.08,0.49,2.07
3.1,0.585,2.09
3.12,0.685,2.105
3.14,0.84,2.125
3.16,0.97,2.135
3.18,1.18,2.16
3.2,1.425,2.18
3.22,1.65,2.195
3.24,1.8,2.205
3.26,2.095,2.22
3.28,2.31,2.235
3.3,2.46,2.245
3.32,2.665,2.255
3.34,3.035,2.275
3.36,3.325,2.285
3.38,3.485,2.295
3.4,3.74,2.31
3.42,3.96,2.33
3.44,4.05,2.345
3.46,3.965,2.355
3.48,3.8,2.38
3.5,3.46,2.395
3.52,3.065,2.41
3.54,2.545,2.43
3.56,2.105,2.455
3.58,1.67,2.47
3.6,1.455,2.485
3.62,1.22,2.5
3.64,1.035,2.515
3.66,0.88,2.53
3.68,0.805,2.54
3.7,0.805,2.55
3.72,0.82,2.56
3.74,0.9,2.585
3.76,0.955,2.595
3.78,1.01,2.605
3.8,1.095,2.615
3.82,1.255,2.63
3.84,1.535,2.655
3.86,1.84,2.68
3.88,2.285,2.705
3.9,2.485,2.71
3.92,2.9,2.73
3.94,3.14,2.745
3.96,3.305,2.75
3.98,3.58,2.765
4,4.005,2.785
4.02,4.245,2.79
4.04,4.55,2.81
4.06,4.805,2.835
4.08,4.845,2.855
4.1,4.79,2.865
4.12,4.67,2.875
4.14,4.55,2.885
4.16,4.065,2.91
4.18,3.475,2.935
4.2,2.835,2.965
4.22,2.48,2.97
4.24,2.38,2.975
4.26,2.25,2.995
4.28,1.805,3.03
4.3,1.48,3.05
4.32,1.385,3.07
4.34,1.495,3.095
4.36,1.555,3.11
4.38,1.675,3.135
4.4,1.92,3.15
4.42,2.385,3.18
4.44,2.39,3.18
4.46,2.405,3.18
4.48,2.43,3.18
4.5,2.425,3.18
4.52,2.465,3.185
4.54,2.445,3.185
4.56,2.44,3.18
4.58,2.425,3.18
4.6,2.43,3.18
4.62,2.425,3.185
4.64,2.43,3.185
4.66,2.43,3.18
4.68,2.425,3.18
4.7,2.43,3.18
4.72,2.43,3.185
4.74,2.425,3.185
4.76,2.43,3.18
4.78,2.425,3.18
4.8,2.425,3.18
4.82,2.43,3.18
4.84,2.43,3.185
4.86,2.43,3.185
4.88,2.43,3.18
4.9,2.43,3.185
4.92,2.43,3.185
4.94,2.43,3.185
4.96,2.43,3.185
4.98,2.43,3.185
5,2.43,3.18
5.02,2.43,3.18
5.04,2.43,3.185
5.06,2.43,3.18
5.08,2.43,3.18
