Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.01,0.005
0.02,-0.01,0.005
0.04,-0.01,0.005
0.06,-0.015,0
0.08,-0.015,0.005
0.1,-0.015,0
0.12,-0.015,0.005
0.14,-0.015,0.005
0.16,-0.015,0.005
0.18,-0.015,0.005
0.2,-0.005,0.005
0.22,-0.01,0.005
0.24,-0.015,0.005
0.26,-0.02,0.005
0.28,-0.02,0
0.3,-0.02,0.005
0.32,-0.02,0.005
0.34,-0.02,0
0.36,-0.025,0.005
0.38,-0.02,0.005
0.4,-0.025,0.005
0.42,-0.025,0.005
0.44,-0.025,0.005
0.46,-0.025,0.005
0.48,-0.025,0.005
0.5,-0.025,0.005
0.52,-0.025,0.005
0.54,-0.03,0.005
0.56,-0.025,0
0.58,-0.03,0.005
0.6,-0.03,0.005
0.62,-0.03,0.005
0.64,-0.03,0.005
0.66,-0.03,0.005
0.68,-0.035,0.005
0.7,-0.03,0.005
0.72,0.035,0.045
0.74,0.005,0.07
0.76,0,0.095
0.78,0.02,0.12
0.8,0.005,0.145
0.82,0.005,0.17
0.84,-0.01,0.18
0.86,0.025,0.215
0.88,0,0.23
0.9,0.01,0.255
0.92,0.02,0.275
0.94,0.03,0.3
0.96,0.05,0.325
0.98,0.095,0.36
1,0.06,0.375
1.02,0.055,0.395
1.04,0.04,0.41
1.06,0.025,0.445
1.08,0.015,0.475
1.1,0,0.495
1.12,0.005,0.515
1.14,0,0.545
1.16,0,0.56
1.18,0.01,0.58
1.2,0.035,0.605
1.22,0.055,0.635
1.24,0.1,0.66
1.26,0.13,0.68
1.28,0.17,0.7
1.3,0.275,0.725
1.32,0.385,0.755
1.34,0.53,0.785
1.36,0.645,0.805
1.38,0.735,0.825
1.4,0.795,0.85
1.42,0.695,0.865
1.44,0.555,0.885
1.46,0.385,0.905
1.48,0.25,0.92
1.5,0.19,0.93
1.52,0.135,0.95
1.54,0.1,0.96
1.56,0.065,0.98
1.58,0.045,1
1.6,0.02,1.01
1.62,0.05,1.04
1.64,0.02,1.04
1.66,0.05,1.055
1.68,0.085,1.075
1.7,0.105,1.09
1.72,0.215,1.115
1.74,0.295,1.13
1.76,0.45,1.155
1.78,0.565,1.175
1.8,0.625,1.18
1.82,0.75,1.195
1.84,0.94,1.22
1.86,1.2,1.245
1.88,1.565,1.28
1.9,1.815,1.3
1.92,1.885,1.31
1.94,1.905,1.33
1.96,1.79,1.34
1.98,1.58,1.355
2,1.34,1.365
2.02,1.035,1.39
2.04,0.745,1.4
2.06,0.51,1.42
2.08,0.39,1.425
2.1,0.29,1.435
2.12,0.235,1.445
2.14,0.145,1.47
2.16,0.085,1.485
2.18,0.07,1.495
2.2,0.075,1.505
2.22,0.12,1.53
2.24,0.185,1.55
2.26,0.345,1.585
2.28,0.425,1.595
2.3,0.475,1.6
2.32,0.58,1.61
2.34,0.765,1.635
2.36,1.14,1.665
2.38,1.445,1.69
2.4,1.935,1.72
2.42,2.1,1.725
2.44,2.37,1.745
2.46,2.535,1.75
2.48,2.95,1.78
2.5,3.165,1.805
2.52,2.965,1.835
2.54,2.375,1.865
2.56,1.545,1.89
2.58,1.265,1.895
2.6,1.07,1.91
2.62,0.77,1.93
2.64,0.57,1.94
2.66,0.41,1.955
2.68,0.325,1.965
2.7,0.26,1.99
2.72,0.27,2.015
2.74,0.3,2.035
2.76,0.39,2.05
2.78,0.555,2.07
2.8,0.735,2.09
2.82,1.005,2.115
2.84,1.335,2.135
2.86,1.62,2.155
2.88,1.88,2.165
2.9,2.26,2.185
2.92,2.56,2.2
2.94,2.825,2.21
2.96,3.205,2.23
2.98,3.57,2.245
3,4.025,2.27
3.02,4.335,2.29
3.04,4.305,2.31
3.06,4.025,2.33
3.08,3.73,2.34
3.1,3.335,2.355
3.12,2.855,2.375
3.14,2.165,2.405
3.16,1.51,2.42
3.18,1.155,2.435
3.2,0.92,2.455
3.22,0.66,2.475
3.24,0.57,2.49
3.26,0.57,2.51
3.28,0.605,2.53
3.3,0.65,2.54
3.32,0.685,2.545
3.34,0.73,2.55
3.36,0.805,2.56
3.38,0.95,2.575
3.4,1.295,2.6
3.42,1.415,2.605
3.44,1.755,2.63
3.46,2.18,2.65
3.48,2.6,2.665
3.5,2.865,2.675
3.52,3.37,2.695
3.54,3.76,2.71
3.56,4.35,2.73
3.58,4.705,2.745
3.6,5.14,2.765
3.62,5.415,2.79
3.64,5.375,2.81
3.66,5.115,2.83
3.68,4.675,2.845
3.7,4.26,2.865
3.72,3.8,2.88
3.74,2.975,2.905
3.76,2.38,2.925
3.78,1.895,2.95
3.8,1.43,2.97
3.82,1.265,2.975
3.84,1.225,3.005
3.86,1.22,3.05
3.88,1.38,3.075
3.9,1.785,3.1
3.92,2.32,3.13
3.94,2.955,3.16
3.96,3.675,3.18
3.98,3.73,3.18
4,3.735,3.18
4.02,3.735,3.18
4.04,3.73,3.18
4.06,3.735,3.18
4.08,3.735,3.18
4.1,3.735,3.18
4.12,3.735,3.18
4.14,3.735,3.18
4.16,3.735,3.18
4.18,3.73,3.18
4.2,3.735,3.18
4.22,3.735,3.18
4.24,3.785,3.18
4.26,3.79,3.185
4.28,3.79,3.18
4.3,3.79,3.185
4.32,3.79,3.18
4.34,3.785,3.18
4.36,3.795,3.18
4.38,3.795,3.185
4.4,3.795,3.185
4.42,3.79,3.18
4.44,3.795,3.185
4.46,3.795,3.18
4.48,3.795,3.18
4.5,3.8,3.18
4.52,3.8,3.185
4.54,3.8,3.18
4.56,3.8,3.18
4.58,3.805,3.185
4.6,3.805,3.18
4.62,3.81,3.18
4.64,3.81,3.185
4.66,3.815,3.18
4.68,3.815,3.18
4.7,3.82,3.185
4.72,3.82,3.18
4.74,3.825,3.185
4.76,3.825,3.18
4.78,3.825,3.18
4.8,3.825,3.185
4.82,3.83,3.185
4.84,3.83,3.185
4.86,3.83,3.185
4.88,3.83,3.185
4.9,3.83,3.185
4.92,3.83,3.18
4.94,3.835,3.185
4.96,3.835,3.18
4.98,3.835,3.185
5,3.835,3.18
5.02,3.835,3.185
5.04,3.84,3.185
