Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.04,0.005
0.02,-0.04,0.005
0.04,-0.04,0.005
0.06,-0.04,0.005
0.08,-0.04,0.005
0.1,-0.04,0.005
0.12,-0.04,0.005
0.14,-0.04,0.005
0.16,-0.035,0.005
0.18,-0.035,0.005
0.2,-0.035,0.005
0.22,-0.04,0.005
0.24,-0.035,0.005
0.26,-0.035,0.005
0.28,-0.035,0.005
0.3,-0.035,0
0.32,-0.035,0.005
0.34,-0.035,0.005
0.36,-0.035,0.005
0.38,-0.035,0.005
0.4,-0.035,0.005
0.42,-0.035,0.005
0.44,-0.035,0.005
0.46,-0.035,0.005
0.48,-0.035,0.005
0.5,-0.03,0.005
0.52,-0.03,0.005
0.54,-0.035,0.005
0.56,-0.03,0.005
0.58,-0.03,0.005
0.6,-0.03,0.005
0.62,-0.03,0.005
0.64,-0.03,0.005
0.66,-0.005,0.015
0.68,0.02,0.065
0.7,0.015,0.095
0.72,0.035,0.12
0.74,0.02,0.145
0.76,0.02,0.16
0.78,0.02,0.175
0.8,0.085,0.21
0.82,0.07,0.23
0.84,0.08,0.26
0.86,0.095,0.285
0.88,0.085,0.305
0.9,0.055,0.32
0.92,0.06,0.335
0.94,0.055,0.35
0.96,0.045,0.37
0.98,0.045,0.385
1,0.02,0.395
1.02,0.035,0.415
1.04,0.045,0.445
1.06,0.045,0.465
1.08,0.04,0.485
1.1,0.03,0.5
1.12,0.04,0.515
1.14,0.055,0.54
1.16,0.045,0.555
1.18,0.08,0.565
1.2,0.11,0.585
1.22,0.15,0.6
1.24,0.19,0.62
1.26,0.26,0.64
1.28,0.32,0.655
1.3,0.37,0.665
1.32,0.425,0.685
1.34,0.465,0.695
1.36,0.495,0.715
1.38,0.44,0.735
1.4,0.375,0.75
1.42,0.32,0.76
1.44,0.245,0.78
1.46,0.19,0.795
1.48,0.16,0.805
1.5,0.135,0.82
1.52,0.115,0.835
1.54,0.095,0.85
1.56,0.09,0.86
1.58,0.065,0.87
1.6,0.07,0.88
1.62,0.06,0.895
1.64,0.05,0.9
1.66,0.045,0.915
1.68,0.02,0.925
1.7,0.145,0.96
1.72,0.06,0.98
1.74,0.095,0.995
1.76,0.085,1.015
1.78,0.305,1.04
1.8,0.435,1.07
1.82,0.56,1.085
1.84,0.655,1.1
1.86,0.795,1.115
1.88,0.89,1.125
1.9,1.005,1.14
1.92,1.145,1.155
1.94,1.235,1.165
1.96,1.285,1.18
1.98,1.285,1.205
2,1.045,1.22
2.02,0.83,1.245
2.04,0.54,1.26
2.06,0.375,1.28
2.08,0.33,1.28
2.1,0.275,1.29
2.12,0.215,1.305
2.14,0.205,1.315
2.16,0.19,1.34
2.18,0.135,1.35
2.2,0.11,1.365
2.22,0.12,1.38
2.24,0.095,1.4
2.26,0.105,1.415
2.28,0.11,1.43
2.3,0.11,1.44
2.32,0.165,1.455
2.34,0.29,1.485
2.36,0.36,1.495
2.38,0.56,1.525
2.4,0.86,1.555
2.42,1.07,1.57
2.44,1.305,1.585
2.46,1.495,1.595
2.48,1.89,1.625
2.5,2.215,1.655
2.52,2.3,1.67
2.54,2.26,1.675
2.56,2.175,1.695
2.58,1.73,1.715
2.6,1.375,1.725
2.62,1.115,1.745
2.64,0.835,1.755
2.66,0.605,1.785
2.68,0.43,1.805
2.7,0.36,1.83
2.72,0.235,1.845
2.74,0.21,1.89
2.76,0.2,1.915
2.78,0.225,1.93
2.8,0.36,1.96
2.82,0.515,1.975
2.84,0.765,2
2.86,1.045,2.02
2.88,1.31,2.035
2.9,1.58,2.05
2.92,1.795,2.06
2.94,1.985,2.07
2.96,2.41,2.09
2.98,2.91,2.11
3,3.3,2.135
3.02,3.41,2.145
3.04,3.43,2.17
3.06,3.015,2.19
3.08,2.605,2.2
3.1,1.88,2.23
3.12,1.39,2.245
3.14,0.82,2.29
3.16,0.52,2.305
3.18,0.355,2.335
3.2,0.295,2.35
3.22,0.265,2.37
3.24,0.255,2.39
3.26,0.28,2.405
3.28,0.365,2.42
3.3,0.44,2.43
3.32,0.63,2.455
3.34,0.94,2.475
3.36,1.435,2.505
3.38,2.09,2.535
3.4,2.465,2.54
3.42,2.875,2.565
3.44,3.8,2.595
3.46,4.43,2.615
3.48,4.795,2.645
3.5,4.55,2.665
3.52,4.415,2.67
3.54,4.275,2.67
3.56,4.125,2.685
3.58,3.555,2.695
3.6,3.105,2.71
3.62,2.76,2.725
3.64,2.31,2.73
3.66,2.02,2.74
3.68,1.75,2.755
3.7,1.425,2.765
3.72,1.125,2.785
3.74,0.89,2.795
3.76,0.78,2.8
3.78,0.68,2.815
3.8,0.555,2.835
3.82,0.44,2.855
3.84,0.42,2.87
3.86,0.425,2.88
3.88,0.505,2.9
3.9,0.635,2.915
3.92,0.96,2.945
3.94,1.355,2.965
3.96,1.645,2.975
3.98,1.775,2.98
4,2.295,3.005
4.02,2.815,3.01
4.04,3.875,3.045
4.06,4.8,3.06
4.08,5.965,3.095
4.1,6.97,3.125
4.12,7.16,3.155
4.14,6.45,3.18
4.16,6.255,3.185
4.18,6.24,3.185
4.2,6.24,3.185
4.22,6.475,3.175
4.24,6.49,3.175
4.26,6.495,3.175
4.28,6.495,3.18
4.3,6.5,3.175
4.32,6.5,3.175
4.34,6.5,3.175
4.36,6.505,3.18
4.38,6.505,3.175
4.4,6.51,3.18
4.42,6.51,3.175
4.44,6.515,3.175
4.46,6.515,3.175
4.48,6.515,3.175
4.5,6.515,3.175
4.52,6.52,3.175
4.54,6.52,3.175
4.56,6.455,3.18
4.58,6.42,3.18
4.6,6.425,3.18
4.62,6.425,3.18
4.64,6.43,3.18
4.66,6.435,3.18
4.68,6.435,3.18
4.7,6.44,3.18
4.72,6.44,3.18
4.74,6.44,3.18
4.76,6.44,3.18
4.78,6.445,3.18
4.8,6.445,3.18
4.82,6.44,3.18
4.84,6.44,3.18
4.86,6.44,3.18
4.88,6.435,3.18
4.9,6.44,3.18
4.92,6.335,3.18
4.94,6.325,3.18
4.96,6.32,3.18
4.98,6.32,3.185
5,6.32,3.185
5.02,6.325,3.18
5.04,6.32,3.185
5.06,6.325,3.185
5.08,6.35,3.18
5.1,6.36,3.18
5.12,6.32,3.185
5.14,6.34,3.185
5.16,6.38,3.18
5.18,6.265,3.18
5.2,6.22,3.18
5.22,6.235,3.18
5.24,6.225,3.18
5.26,6.22,3.18
5.28,6.205,3.18
5.3,6.2,3.18
5.32,6.2,3.18
5.34,6.19,3.185
5.36,6.19,3.185
5.38,6.185,3.18
5.4,6.18,3.185
5.42,6.18,3.18
5.44,6.175,3.185
5.46,6.175,3.18
5.48,6.18,3.185
5.5,6.18,3.18
5.52,6.175,3.185
5.54,6.175,3.185
5.56,6.17,3.18
5.58,6.175,3.185
5.6,6.175,3.18
5.62,6.175,3.185
5.64,6.17,3.18
5.66,6.17,3.185
5.68,6.165,3.18
5.7,6.165,3.185
5.72,6.165,3.18
5.74,6.16,3.18
5.76,6.16,3.185
5.78,6.155,3.185
5.8,6.155,3.18
5.82,6.15,3.185
5.84,6.135,3.18
5.86,6.13,3.18
5.88,6.14,3.18
5.9,6.14,3.18
5.92,6.14,3.18
5.94,6.14,3.185
5.96,6.14,3.18
5.98,6.135,3.185
6,6.135,3.185
6.02,6.135,3.18
6.04,6.14,3.185
6.06,6.135,3.18
6.08,6.135,3.18
6.1,6.135,3.18
6.12,6.135,3.185
6.14,6.135,3.18
6.16,6.135,3.18
6.18,6.135,3.185
6.2,6.135,3.185
6.22,6.14,3.185
6.24,6.14,3.18
6.26,6.145,3.185
6.28,6.14,3.185
6.3,6.14,3.18
6.32,6.145,3.185
