Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.015,0.005
0.02,-0.015,0.005
0.04,-0.015,0.005
0.06,-0.015,0.005
0.08,-0.015,0.005
0.1,-0.015,0.005
0.12,-0.015,0.005
0.14,-0.015,0.005
0.16,-0.02,0.005
0.18,-0.02,0.005
0.2,-0.02,0.005
0.22,-0.02,0.005
0.24,-0.02,0.005
0.26,-0.02,0.005
0.28,-0.025,0.005
0.3,-0.025,0.005
0.32,-0.025,0.005
0.34,-0.025,0
0.36,-0.025,0.005
0.38,-0.025,0
0.4,-0.025,0.005
0.42,-0.025,0.005
0.44,-0.025,0.005
0.46,-0.03,0.005
0.48,-0.03,0.005
0.5,-0.03,0.005
0.52,-0.025,0.005
0.54,-0.03,0.005
0.56,-0.03,0.005
0.58,-0.03,0
0.6,-0.03,0.005
0.62,-0.03,0.005
0.64,-0.03,0
0.66,-0.03,0.005
0.68,-0.035,0.005
0.7,-0.03,0.005
0.72,-0.03,0.005
0.74,-0.035,0.005
0.76,-0.03,0.005
0.78,-0.035,0.005
0.8,-0.035,0.005
0.82,-0.035,0.005
0.84,-0.035,0.005
0.86,-0.04,0.005
0.88,-0.035,0
0.9,-0.035,0.005
0.92,-0.04,0.005
0.94,-0.04,0.005
0.96,-0.04,0.005
0.98,-0.04,0.005
1,-0.04,0.005
1.02,-0.04,0.005
1.04,-0.04,0.005
1.06,-0.04,0.005
1.08,-0.04,0.005
1.1,-0.05,0.005
1.12,-0.045,0.005
1.14,-0.045,0.005
1.16,-0.045,0.005
1.18,-0.045,0.005
1.2,-0.04,0.005
1.22,-0.06,0
1.24,-0.075,0.005
1.26,-0.06,0.005
1.28,-0.045,0.005
1.3,-0.045,0.005
1.32,-0.045,0.005
1.34,-0.045,0.005
1.36,-0.045,0.005
1.38,-0.045,0.005
1.4,-0.045,0
1.42,-0.045,0.005
1.44,-0.045,0.005
1.46,0.045,0.045
1.48,-0.015,0.06
1.5,-0.005,0.085
1.52,-0.025,0.095
1.54,-0.015,0.11
1.56,-0.015,0.13
1.58,-0.025,0.145
1.6,-0.02,0.16
1.62,-0.02,0.17
1.64,-0.005,0.18
1.66,-0.01,0.195
1.68,0.01,0.22
1.7,0,0.23
1.72,0,0.24
1.74,-0.005,0.255
1.76,-0.005,0.26
1.78,0.01,0.265
1.8,0.01,0.285
1.82,0.02,0.3
1.84,0.01,0.315
1.86,0.01,0.33
1.88,0.01,0.34
1.9,0.015,0.355
1.92,0.005,0.37
1.94,0.035,0.39
1.96,0.055,0.425
1.98,0.035,0.455
2,0.04,0.485
2.02,0.005,0.49
2.04,0.01,0.5
2.06,0.03,0.52
2.08,0.04,0.545
2.1,0.025,0.55
2.12,0.04,0.56
2.14,0.075,0.575
2.16,0.085,0.595
2.18,0.105,0.61
2.2,0.16,0.635
2.22,0.215,0.66
2.24,0.25,0.685
2.26,0.245,0.7
2.28,0.225,0.705
2.3,0.245,0.715
2.32,0.26,0.735
2.34,0.225,0.75
2.36,0.19,0.78
2.38,0.11,0.795
2.4,0.075,0.81
2.42,0.06,0.825
2.44,0.07,0.865
2.46,0.08,0.9
2.48,0.06,0.92
2.5,0.095,0.95
2.52,0.095,0.96
2.54,0.14,0.975
2.56,0.155,0.99
2.58,0.19,1.005
2.6,0.28,1.035
2.62,0.285,1.04
2.64,0.32,1.05
2.66,0.415,1.075
2.68,0.45,1.09
2.7,0.55,1.12
2.72,0.655,1.145
2.74,0.79,1.175
2.76,0.805,1.21
2.78,0.565,1.24
2.8,0.345,1.265
2.82,0.235,1.28
2.84,0.225,1.305
2.86,0.14,1.315
2.88,0.145,1.355
2.9,0.145,1.385
2.92,0.175,1.405
2.94,0.195,1.42
2.96,0.26,1.44
2.98,0.375,1.47
3,0.46,1.485
3.02,0.515,1.5
3.04,0.58,1.515
3.06,0.665,1.53
3.08,0.775,1.55
3.1,0.925,1.57
3.12,1.025,1.585
3.14,1.15,1.605
3.16,1.33,1.635
3.18,1.405,1.66
3.2,1.335,1.675
3.22,1.31,1.685
3.24,1,1.715
3.26,0.76,1.725
3.28,0.555,1.745
3.3,0.44,1.76
3.32,0.305,1.785
3.34,0.21,1.805
3.36,0.215,1.845
3.38,0.325,1.89
3.4,0.35,1.9
3.42,0.415,1.915
3.44,0.46,1.925
3.46,0.48,1.925
3.48,0.54,1.94
3.5,0.665,1.96
3.52,0.87,1.99
3.54,1.11,2.015
3.56,1.28,2.03
3.58,1.41,2.05
3.6,1.46,2.055
3.62,1.615,2.07
3.64,1.845,2.095
3.66,2.045,2.125
3.68,2.055,2.14
3.7,1.925,2.165
3.72,1.65,2.19
3.74,1.28,2.205
3.76,0.9,2.23
3.78,0.64,2.245
