Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.05,0
0.02,-0.05,0.005
0.04,-0.055,0.005
0.06,-0.055,0.005
0.08,-0.05,0.005
0.1,-0.05,0.005
0.12,-0.05,0.005
0.14,-0.05,0.005
0.16,-0.05,0.005
0.18,-0.05,0.005
0.2,-0.05,0.005
0.22,-0.05,0.005
0.24,-0.05,0.005
0.26,-0.05,0.005
0.28,-0.05,0.005
0.3,-0.05,0.005
0.32,-0.05,0.005
0.34,-0.05,0.005
0.36,-0.05,0
0.38,-0.05,0
0.4,-0.05,0.005
0.42,-0.05,0.005
0.44,-0.05,0.005
0.46,-0.05,0.005
0.48,-0.05,0.005
0.5,-0.05,0.005
0.52,-0.05,0.005
0.54,-0.05,0.005
0.56,-0.055,0.005
0.58,-0.05,0.005
0.6,-0.045,0
0.62,-0.06,0.005
0.64,0.025,0.005
0.66,-0.035,0.005
0.68,-0.05,0.005
0.7,-0.055,0
0.72,-0.045,0.005
0.74,-0.05,0
0.76,-0.05,0.005
0.78,-0.05,0.005
0.8,-0.05,0.005
0.82,-0.05,0.005
0.84,-0.05,0.005
0.86,-0.05,0
0.88,-0.05,0.005
0.9,-0.05,0.005
0.92,-0.05,0.005
0.94,-0.05,0.005
0.96,-0.05,0.005
0.98,-0.05,0.005
1,-0.05,0.005
1.02,-0.05,0
1.04,-0.05,0.005
1.06,-0.05,0.005
1.08,-0.05,0.005
1.1,-0.05,0.005
1.12,-0.05,0.005
1.14,-0.045,0.005
1.16,-0.05,0.005
1.18,-0.045,0.005
1.2,-0.055,0.005
1.22,-0.05,0.005
1.24,-0.05,0
1.26,-0.05,0.005
1.28,-0.055,0.005
1.3,-0.05,0
1.32,-0.05,0.005
1.34,-0.045,0.005
1.36,0.005,0.065
1.38,-0.015,0.09
1.4,-0.03,0.09
1.42,-0.035,0.095
1.44,-0.03,0.1
1.46,-0.005,0.13
1.48,-0.005,0.15
1.5,-0.005,0.17
1.52,0,0.18
1.54,0.01,0.2
1.56,0.055,0.215
1.58,0.01,0.225
1.6,0.015,0.24
1.62,0.03,0.26
1.64,0.04,0.275
1.66,0.025,0.285
1.68,0.015,0.295
1.7,0.03,0.305
1.72,0.025,0.315
1.74,0.02,0.32
1.76,0.04,0.34
1.78,0.04,0.36
1.8,0.025,0.37
1.82,0.02,0.375
1.84,0.035,0.39
1.86,0.01,0.395
1.88,0.025,0.4
1.9,0.015,0.41
1.92,0.015,0.415
1.94,0.04,0.435
1.96,0.025,0.445
1.98,0.03,0.46
2,0.03,0.47
2.02,0.045,0.48
2.04,0.035,0.49
2.06,0.05,0.5
2.08,0.06,0.515
2.1,0.11,0.535
2.12,0.075,0.54
2.14,0.075,0.55
2.16,0.1,0.56
2.18,0.13,0.575
2.2,0.135,0.585
2.22,0.15,0.6
2.24,0.165,0.61
2.26,0.195,0.62
2.28,0.21,0.63
2.3,0.235,0.64
2.32,0.285,0.66
2.34,0.28,0.665
2.36,0.285,0.67
2.38,0.29,0.675
2.4,0.3,0.675
2.42,0.32,0.69
2.44,0.32,0.695
2.46,0.325,0.705
2.48,0.305,0.725
2.5,0.29,0.735
2.52,0.285,0.75
2.54,0.245,0.76
2.56,0.205,0.785
2.58,0.18,0.805
2.6,0.155,0.825
2.62,0.095,0.825
2.64,0.115,0.845
2.66,0.11,0.86
2.68,0.12,0.87
2.7,0.18,0.905
2.72,0.205,0.93
2.74,0.3,0.97
2.76,0.325,0.985
2.78,0.335,0.995
2.8,0.33,1
2.82,0.335,1
2.84,0.385,1.015
2.86,0.49,1.04
2.88,0.5,1.045
2.9,0.595,1.07
2.92,0.665,1.085
2.94,0.745,1.105
2.96,0.83,1.125
2.98,0.87,1.13
3,0.97,1.16
3.02,0.99,1.175
3.04,0.975,1.195
3.06,0.855,1.215
3.08,0.72,1.225
3.1,0.605,1.245
3.12,0.46,1.255
3.14,0.395,1.265
3.16,0.335,1.28
3.18,0.265,1.295
3.2,0.22,1.305
3.22,0.25,1.325
3.24,0.255,1.35
3.26,0.305,1.375
3.28,0.38,1.395
3.3,0.425,1.415
3.32,0.5,1.435
3.34,0.53,1.44
3.36,0.65,1.465
3.38,0.76,1.485
3.4,0.825,1.495
3.42,0.9,1.51
3.44,1.015,1.53
3.46,1.135,1.545
3.48,1.295,1.57
3.5,1.445,1.59
3.52,1.565,1.61
3.54,1.695,1.625
3.56,1.79,1.66
3.58,1.685,1.675
3.6,1.595,1.68
3.62,1.27,1.71
3.64,0.945,1.725
3.66,0.775,1.745
3.68,0.59,1.75
3.7,0.505,1.765
3.72,0.44,1.78
3.74,0.375,1.785
3.76,0.385,1.805
3.78,0.45,1.83
3.8,0.42,1.835
3.82,0.46,1.845
3.84,0.54,1.865
3.86,0.695,1.89
3.88,0.81,1.91
3.9,0.965,1.935
3.92,1.13,1.955
3.94,1.215,1.965
3.96,1.355,1.98
3.98,1.465,1.995
4,1.63,2.01
4.02,1.75,2.025
4.04,1.825,2.03
4.06,1.99,2.05
4.08,2.145,2.065
4.1,2.235,2.075
4.12,2.39,2.095
4.14,2.585,2.115
4.16,2.605,2.14
4.18,2.48,2.155
4.2,2.255,2.17
4.22,1.815,2.19
4.24,1.485,2.2
4.26,1.31,2.215
4.28,0.925,2.24
4.3,0.745,2.245
4.32,0.655,2.255
4.34,0.605,2.275
4.36,0.595,2.3
4.38,0.61,2.31
4.4,0.725,2.335
4.42,0.775,2.345
4.44,0.935,2.37
4.46,1.18,2.4
4.48,1.355,2.415
4.5,1.5,2.43
4.52,1.625,2.44
4.54,1.74,2.45
4.56,1.77,2.455
4.58,1.88,2.465
4.6,1.975,2.47
4.62,2.075,2.485
4.64,2.26,2.5
4.66,2.37,2.505
4.68,2.575,2.525
4.7,2.815,2.54
4.72,2.945,2.55
4.74,3.175,2.57
4.76,3.4,2.595
4.78,3.415,2.61
4.8,3.295,2.635
4.82,2.91,2.665
4.84,2.325,2.67
4.86,1.945,2.69
4.88,1.665,2.695
4.9,1.49,2.705
4.92,1.39,2.705
4.94,1.17,2.73
4.96,0.97,2.74
4.98,0.88,2.75
5,0.845,2.765
5.02,0.815,2.78
5.04,0.82,2.79
5.06,0.865,2.805
5.08,0.935,2.815
5.1,1.045,2.835
5.12,1.215,2.855
5.14,1.375,2.87
5.16,1.495,2.88
5.18,1.72,2.9
5.2,1.95,2.915
5.22,2.125,2.93
5.24,2.22,2.935
5.26,2.335,2.945
5.28,2.66,2.97
5.3,2.775,2.975
5.32,2.805,2.98
5.34,2.84,2.985
5.36,3.1,3
5.38,3.4,3.02
5.4,3.81,3.05
5.42,3.965,3.06
5.44,4.065,3.065
5.46,4.165,3.085
5.48,4.195,3.1
5.5,4.025,3.115
5.52,3.685,3.135
5.54,3.18,3.16
5.56,2.37,3.175
5.58,2.245,3.18
5.6,2.205,3.18
5.62,2.205,3.18
5.64,2.2,3.18
5.66,2.2,3.18
5.68,2.205,3.18
5.7,2.2,3.18
5.72,2.2,3.18
5.74,2.2,3.18
5.76,2.2,3.18
5.78,2.2,3.18
5.8,2.2,3.18
5.82,2.2,3.18
5.84,2.205,3.18
5.86,2.2,3.18
5.88,2.2,3.18
5.9,2.135,3.18
5.92,2.125,3.185
5.94,2.125,3.18
5.96,2.125,3.185
5.98,2.125,3.185
6,2.13,3.18
6.02,2.125,3.185
6.04,2.14,3.185
6.06,2.135,3.18
6.08,2.135,3.18
6.1,2.135,3.185
6.12,2.14,3.18
6.14,2.135,3.18
6.16,2.14,3.18
6.18,2.135,3.185
6.2,2.13,3.185
6.22,2.13,3.185
6.24,2.13,3.185
6.26,2.13,3.18
6.28,2.13,3.185
6.3,2.13,3.18
6.32,2.135,3.185
6.34,2.135,3.185
6.36,2.135,3.18
6.38,2.135,3.18
6.4,2.135,3.185
6.42,2.135,3.18
6.44,2.135,3.185
6.46,2.135,3.185
6.48,2.14,3.185
6.5,2.135,3.185
6.52,2.14,3.185
6.54,2.14,3.18
6.56,2.14,3.185
6.58,2.14,3.18
6.6,2.14,3.185
6.62,2.14,3.185
6.64,2.145,3.18
6.66,2.145,3.18
6.68,2.145,3.185
6.7,2.145,3.18
6.72,2.145,3.185
6.74,2.15,3.18
6.76,2.15,3.18
6.78,2.15,3.18
6.8,2.15,3.185
6.82,2.15,3.18
6.84,2.15,3.185
6.86,2.155,3.185
6.88,2.155,3.185
6.9,2.155,3.18
6.92,2.155,3.185
6.94,2.155,3.185
6.96,2.155,3.185
6.98,2.155,3.185
7,2.155,3.185
7.02,2.155,3.18
7.04,2.155,3.18
7.06,2.155,3.185
7.08,2.155,3.18
7.1,2.155,3.18
7.12,2.155,3.185
7.14,2.155,3.185
7.16,2.16,3.18
7.18,2.155,3.18
7.2,2.155,3.185
7.22,2.16,3.18
7.24,2.16,3.185
7.26,2.18,3.185
7.28,2.18,3.185
7.3,2.18,3.185
7.32,2.18,3.185
7.34,2.175,3.185
7.36,2.175,3.185
7.38,2.18,3.185
7.4,2.18,3.185
7.42,2.16,3.18
7.44,2.155,3.18
7.46,2.155,3.185
7.48,2.155,3.18
7.5,2.155,3.185
7.52,2.155,3.185
7.54,2.155,3.185
7.56,2.155,3.185
7.58,2.155,3.18
7.6,2.155,3.185
7.62,2.155,3.18
7.64,2.155,3.185
7.66,2.155,3.185
7.68,2.155,3.18
7.7,2.16,3.18
7.72,2.155,3.185
7.74,2.155,3.185
7.76,2.155,3.18
7.78,2.155,3.185
7.8,2.155,3.185
7.82,2.16,3.185
7.84,2.155,3.18
7.86,2.155,3.185
7.88,2.155,3.18
7.9,2.155,3.185
7.92,2.155,3.18
7.94,2.155,3.18
7.96,2.155,3.185
7.98,2.155,3.185
8,2.18,3.18
8.02,2.335,3.185
8.04,2.385,3.18
8.06,2.31,3.18
8.08,2.155,3.18
